state;action_reward;n_state
294&3|117&3|181&3|188&4|275&4|276&1|56&4|385&3|22&5|405&3|11&4|164&3;238&5|100&4|527&3|381&3;294&3|117&3|181&3|188&4|275&4|276&1|56&4|385&3|22&5|405&3|11&4|164&3|238&5|100&4|527&3|381&3
237&3|191&4|126&4|204&4|476&3|174&5|152&4|216&5|427&4|502&3|498&5|399&4;163&3|71&5|153&4|88&4;237&3|191&4|126&4|204&4|476&3|174&5|152&4|216&5|427&4|502&3|498&5|399&4|163&3|71&5|153&4|88&4
294&1|333&3|335&3|269&3|328&3|405&4|311&3|369&5|105&1|131&3|117&4|1&3;300&5|275&5|258&5|1177&5;294&1|333&3|335&3|269&3|328&3|405&4|311&3|369&5|105&1|131&3|117&4|1&3|300&5|275&5|258&5|1177&5
558&4|581&5|154&4|1059&4|546&3|291&5|175&2|238&5|64&5|70&4|53&5|1012&4;998&1|790&4|1090&2|1079&2;558&4|581&5|154&4|1059&4|546&3|291&5|175&2|238&5|64&5|70&4|53&5|1012&4|998&1|790&4|1090&2|1079&2
436&5|210&4|89&5|620&4|405&3|613&4|530&5|659&5|264&4|234&5|482&3|259&3;553&3|557&4|654&5|559&5;436&5|210&4|89&5|620&4|405&3|613&4|530&5|659&5|264&4|234&5|482&3|259&3|553&3|557&4|654&5|559&5
678&2|167&4|412&2|118&4|321&5|304&2|237&5|401&4|255&5|403&4|367&4|220&4;50&5|862&1|153&4|781&4;678&2|167&4|412&2|118&4|321&5|304&2|237&5|401&4|255&5|403&4|367&4|220&4|50&5|862&1|153&4|781&4
294&4|49&5|731&4|274&5|778&4|88&5|280&4|111&5|1041&5|722&5|90&4|25&5;15&4|846&4|20&4|546&4;294&4|49&5|731&4|274&5|778&4|88&5|280&4|111&5|1041&5|722&5|90&4|25&5|15&4|846&4|20&4|546&4
129&4|1007&4|507&4|523&4|475&4|268&4|645&4|672&2|324&3|222&2|715&4|64&2;281&3|233&3|318&5|230&4;129&4|1007&4|507&4|523&4|475&4|268&4|645&4|672&2|324&3|222&2|715&4|64&2|281&3|233&3|318&5|230&4
345&4|333&3|302&5|742&4|258&3|319&2|328&3|245&3|117&3|237&3|326&3|273&3;475&3|1051&2|1011&3|137&3;345&4|333&3|302&5|742&4|258&3|319&2|328&3|245&3|117&3|237&3|326&3|273&3|475&3|1051&2|1011&3|137&3
269&3|300&3|339&2|313&5|748&5|302&2|879&4|539&4|315&3|286&3|323&4|328&4;508&3|1&5|892&2|15&5;269&3|300&3|339&2|313&5|748&5|302&2|879&4|539&4|315&3|286&3|323&4|328&4|508&3|1&5|892&2|15&5
264&4|886&2|887&2|877&2|918&3|890&1|937&4|271&4|333&4|680&1|294&3|678&2;308&3|266&1|880&3|353&2;264&4|886&2|887&2|877&2|918&3|890&1|937&4|271&4|333&4|680&1|294&3|678&2|308&3|266&1|880&3|353&2
751&4|303&5|313&4|306&4|269&5|302&5|288&3|328&2|258&3|749&4|362&3|340&5;886&4|270&5|1105&2|902&5;751&4|303&5|313&4|306&4|269&5|302&5|288&3|328&2|258&3|749&4|362&3|340&5|886&4|270&5|1105&2|902&5
319&3|748&3|282&4|286&3|678&4|546&2|237&4|116&4|471&4|304&4|25&4|323&3;117&4|871&2|147&4|100&5;319&3|748&3|282&4|286&3|678&4|546&2|237&4|116&4|471&4|304&4|25&4|323&3|117&4|871&2|147&4|100&5
307&2|315&4|269&4|339&3|300&3|313&4|900&3|333&4|270&4|272&2|302&5|345&3;748&5|937&5|288&5|347&4;307&2|315&4|269&4|339&3|300&3|313&4|900&3|333&4|270&4|272&2|302&5|345&3|748&5|937&5|288&5|347&4
763&2|50&5|100&5|151&2|1&5|282&4|823&4|473&3|1059&2|111&4|121&4|597&3;1061&2|476&3|926&3|764&4;763&2|50&5|100&5|151&2|1&5|282&4|823&4|473&3|1059&2|111&4|121&4|597&3|1061&2|476&3|926&3|764&4
627&5|963&5|969&4|607&3|427&5|491&3|419&4|498&5|432&4|51&4|431&3|443&4;570&4|628&3|176&4|405&4;627&5|963&5|969&4|607&3|427&5|491&3|419&4|498&5|432&4|51&4|431&3|443&4|570&4|628&3|176&4|405&4
272&3|539&2|358&3|91&3|432&3|1240&3|1110&4|751&3|189&4|95&4|588&2|101&2;111&4|926&2|25&3|410&1;272&3|539&2|358&3|91&3|432&3|1240&3|1110&4|751&3|189&4|95&4|588&2|101&2|111&4|926&2|25&3|410&1
1012&1|1&4|249&3|508&3|127&3|326&3|523&3|287&3|257&4|194&4|845&3|692&3;1023&2|1132&4|1040&2|763&3;1012&1|1&4|249&3|508&3|127&3|326&3|523&3|287&3|257&4|194&4|845&3|692&3|1023&2|1132&4|1040&2|763&3
275&2|137&1|1281&4|124&5|293&3|19&4|297&4|744&4|285&5|242&5|287&4|813&3;276&5|302&5|269&5|536&5;275&2|137&1|1281&4|124&5|293&3|19&4|297&4|744&4|285&5|242&5|287&4|813&3|276&5|302&5|269&5|536&5
118&3|1&5|15&5|125&1|222&4|845&4|151&1|866&2|477&5|14&4|283&4|476&4;235&4|820&3|412&2|934&3;118&3|1&5|15&5|125&1|222&4|845&4|151&1|866&2|477&5|14&4|283&4|476&4|235&4|820&3|412&2|934&3
357&4|620&4|778&3|293&3|655&4|402&4|294&2|659&4|216&4|118&2|7&2|890&1;274&3|300&2|298&2|281&3;357&4|620&4|778&3|293&3|655&4|402&4|294&2|659&4|216&4|118&2|7&2|890&1|274&3|300&2|298&2|281&3
328&4|315&5|311&4|272&3|313&4|302&5|887&3|269&5|304&4|340&4|242&4|301&4;305&2|896&2|344&2|307&2;328&4|315&5|311&4|272&3|313&4|302&5|887&3|269&5|304&4|340&4|242&4|301&4|305&2|896&2|344&2|307&2
121&5|71&5|82&5|480&5|663&2|96&4|132&5|8&5|742&5|435&4|204&5|172&5;228&5|95&5|88&5|162&3;121&5|71&5|82&5|480&5|663&2|96&4|132&5|8&5|742&5|435&4|204&5|172&5|228&5|95&5|88&5|162&3
387&5|187&4|661&4|582&5|513&4|28&4|510&4|70&5|46&5|509&4|191&5|357&3;956&4|1119&3|1267&4|403&4;387&5|187&4|661&4|582&5|513&4|28&4|510&4|70&5|46&5|509&4|191&5|357&3|956&4|1119&3|1267&4|403&4
319&3|289&3|881&2|888&4|269&4|242&4|304&3|328&2|879&2|326&3|300&3|338&1;683&5|1176&5|270&5|889&5;319&3|289&3|881&2|888&4|269&4|242&4|304&3|328&2|879&2|326&3|300&3|338&1|683&5|1176&5|270&5|889&5
546&4|476&4|118&4|121&4|405&2|1011&3|1028&3|748&2|473&3|258&3|111&5|597&2;824&2|1322&2|934&4|831&1;546&4|476&4|118&4|121&4|405&2|1011&3|1028&3|748&2|473&3|258&3|111&5|597&2|824&2|1322&2|934&4|831&1
79&5|22&4|187&5|180&4|14&5|98&5|526&5|879&3|873&3|153&4|527&4|137&5;405&3|223&5|408&5|831&1;79&5|22&4|187&5|180&4|14&5|98&5|526&5|879&3|873&3|153&4|527&4|137&5|405&3|223&5|408&5|831&1
245&3|242&4|10&3|149&4|124&4|1137&3|1142&4|458&2|1&2|301&3|279&2|283&3;14&5|870&2|327&4|100&5;245&3|242&4|10&3|149&4|124&4|1137&3|1142&4|458&2|1&2|301&3|279&2|283&3|14&5|870&2|327&4|100&5
1090&2|723&1|75&4|239&3|365&3|619&3|585&4|163&3|94&3|581&2|333&4|443&3;304&1|625&3|769&2|797&2;1090&2|723&1|75&4|239&3|365&3|619&3|585&4|163&3|94&3|581&2|333&4|443&3|304&1|625&3|769&2|797&2
588&5|633&5|143&5|625&5|234&5|427&4|121&5|298&5|38&5|174&5|288&5|928&5;676&5|207&5|197&5|15&5;588&5|633&5|143&5|625&5|234&5|427&4|121&5|298&5|38&5|174&5|288&5|928&5|676&5|207&5|197&5|15&5
165&3|258&5|463&5|475&4|462&4|1009&2|198&5|179&5|1073&4|509&4|212&4|268&4;381&5|382&5|1018&2|1214&1;165&3|258&5|463&5|475&4|462&4|1009&2|198&5|179&5|1073&4|509&4|212&4|268&4|381&5|382&5|1018&2|1214&1
301&5|308&4|323&5|690&5|321&3|895&5|289&2|258&5|892&4|300&5|294&4|304&5;901&4|988&4|315&4|678&5;301&5|308&4|323&5|690&5|321&3|895&5|289&2|258&5|892&4|300&5|294&4|304&5|901&4|988&4|315&4|678&5
323&4|9&3|181&4|258&4|288&3|687&1|117&4|742&2|125&5|325&1|245&3|50&5;118&3|410&4|7&3|148&4;323&4|9&3|181&4|258&4|288&3|687&1|117&4|742&2|125&5|325&1|245&3|50&5|118&3|410&4|7&3|148&4
662&4|143&5|64&5|118&3|19&4|23&4|297&4|150&5|724&4|952&3|275&4|427&5;39&3|178&5|65&3|469&4;662&4|143&5|64&5|118&3|19&4|23&4|297&4|150&5|724&4|952&3|275&4|427&5|39&3|178&5|65&3|469&4
185&5|657&5|474&5|504&4|340&5|654&5|124&4|315&5|321&5|134&5|478&5|180&5;200&5|488&4|357&5|285&5;185&5|657&5|474&5|504&4|340&5|654&5|124&4|315&5|321&5|134&5|478&5|180&5|200&5|488&4|357&5|285&5
111&4|274&4|150&4|285&5|269&5|258&3|25&4|301&4|235&3|302&3|252&5|410&4;265&3|489&5|195&4|505&4;111&4|274&4|150&4|285&5|269&5|258&3|25&4|301&4|235&3|302&3|252&5|410&4|265&3|489&5|195&4|505&4
431&3|209&5|204&3|648&4|12&5|153&4|176&5|1073&5|514&4|98&5|168&4|603&4;8&3|504&3|203&4|164&3;431&3|209&5|204&3|648&4|12&5|153&4|176&5|1073&5|514&4|98&5|168&4|603&4|8&3|504&3|203&4|164&3
245&4|315&3|311&4|346&3|988&4|301&4|748&4|286&3|243&2|288&3|328&4|294&4;295&3|249&2|127&4|298&4;245&4|315&3|311&4|346&3|988&4|301&4|748&4|286&3|243&2|288&3|328&4|294&4|295&3|249&2|127&4|298&4
328&3|993&4|748&4|742&4|402&4|173&5|705&4|231&4|1047&4|255&4|300&4|326&3;70&3|604&4|203&3|831&3;328&3|993&4|748&4|742&4|402&4|173&5|705&4|231&4|1047&4|255&4|300&4|326&3|70&3|604&4|203&3|831&3
250&4|1&4|640&3|201&5|129&4|288&5|100&5|483&5|55&4|844&3|1019&5|462&4;169&4|209&4|484&5|564&3;250&4|1&4|640&3|201&5|129&4|288&5|100&5|483&5|55&4|844&3|1019&5|462&4|169&4|209&4|484&5|564&3
271&4|245&4|328&3|342&2|288&4|307&5|347&5|300&5|355&3|269&4|313&3|340&5;323&4|748&2|322&4|678&3;271&4|245&4|328&3|342&2|288&4|307&5|347&5|300&5|355&3|269&4|313&3|340&5|323&4|748&2|322&4|678&3
410&2|471&4|24&4|15&3|849&4|121&3|151&2|125&2|1&3|742&4|815&3|147&3;254&1|21&1|473&1|405&2;410&2|471&4|24&4|15&3|849&4|121&3|151&2|125&2|1&3|742&4|815&3|147&3|254&1|21&1|473&1|405&2
615&5|435&4|457&1|197&5|127&5|423&5|318&4|853&4|135&5|693&4|182&5|12&4;195&3|273&4|1298&3|896&4;615&5|435&4|457&1|197&5|127&5|423&5|318&4|853&4|135&5|693&4|182&5|12&4|195&3|273&4|1298&3|896&4
205&5|204&3|566&3|147&3|926&3|268&4|155&3|226&3|209&3|1042&2|159&2|271&4;635&2|231&3|809&4|167&2;205&5|204&3|566&3|147&3|926&3|268&4|155&3|226&3|209&3|1042&2|159&2|271&4|635&2|231&3|809&4|167&2
143&5|321&4|288&3|182&4|962&3|135&5|483&4|1269&2|100&4|23&4|606&3|435&5;847&4|432&5|285&5|255&1;143&5|321&4|288&3|182&4|962&3|135&5|483&4|1269&2|100&4|23&4|606&3|435&5|847&4|432&5|285&5|255&1
435&5|340&4|172&5|271&3|589&5|654&5|479&5|183&3|603&5|89&4|190&4|258&3;228&4|185&5|136&5|98&4;435&5|340&4|172&5|271&3|589&5|654&5|479&5|183&3|603&5|89&4|190&4|258&3|228&4|185&5|136&5|98&4
194&5|732&5|153&5|273&2|319&4|880&4|207&4|881&3|307&5|234&4|241&5|195&4;1109&4|202&4|7&2|111&5;194&5|732&5|153&5|273&2|319&4|880&4|207&4|881&3|307&5|234&4|241&5|195&4|1109&4|202&4|7&2|111&5
308&2|288&2|259&3|748&4|879&4|302&5|300&4|268&4|15&3|340&3|301&4|322&3;224&5|222&4|298&4|408&4;308&2|288&2|259&3|748&4|879&4|302&5|300&4|268&4|15&3|340&3|301&4|322&3|224&5|222&4|298&4|408&4
1033&3|322&3|325&1|282&3|25&4|280&2|544&3|475&1|742&4|246&2|286&5|300&3;1028&3|148&3|829&2|866&3;1033&3|322&3|325&1|282&3|25&4|280&2|544&3|475&1|742&4|246&2|286&5|300&3|1028&3|148&3|829&2|866&3
248&3|269&5|298&4|268&4|246&4|151&4|100&5|109&4|748&4|873&2|7&4|340&3;181&2|535&2|257&5|121&4;248&3|269&5|298&4|268&4|246&4|151&4|100&5|109&4|748&4|873&2|7&4|340&3|181&2|535&2|257&5|121&4
313&5|880&5|872&5|271&5|292&5|358&1|288&4|343&3|895&4|300&4|299&2|355&2;322&3|294&4|908&4|678&2;313&5|880&5|872&5|271&5|292&5|358&1|288&4|343&3|895&4|300&4|299&2|355&2|322&3|294&4|908&4|678&2
25&4|64&5|257&4|568&4|151&4|845&3|284&2|24&3|258&4|7&3|156&4|228&3;546&4|924&3|748&2|1087&4;25&4|64&5|257&4|568&4|151&4|845&3|284&2|24&3|258&4|7&3|156&4|228&3|546&4|924&3|748&2|1087&4
1392&4|310&4|306&4|689&4|286&5|324&4|360&4|328&4|288&5|358&4|1175&5|307&4;300&4|271&3|319&5|872&4;1392&4|310&4|306&4|689&4|286&5|324&4|360&4|328&4|288&5|358&4|1175&5|307&4|300&4|271&3|319&5|872&4
498&3|623&3|191&5|448&3|391&2|636&1|274&4|239&3|366&4|94&5|431&3|144&5;1230&1|527&4|190&4|768&1;498&3|623&3|191&5|448&3|391&2|636&1|274&4|239&3|366&4|94&5|431&3|144&5|1230&1|527&4|190&4|768&1
230&4|1118&3|826&1|288&4|786&3|246&4|376&2|781&4|49&3|584&4|721&3|294&2;1185&2|215&2|364&2|665&3;230&4|1118&3|826&1|288&4|786&3|246&4|376&2|781&4|49&3|584&4|721&3|294&2|1185&2|215&2|364&2|665&3
1083&1|939&5|595&3|1336&3|226&5|299&3|568&4|1046&3|1042&5|100&4|540&4|31&4;333&3|148&4|327&3|887&4;1083&1|939&5|595&3|1336&3|226&5|299&3|568&4|1046&3|1042&5|100&4|540&4|31&4|333&3|148&4|327&3|887&4
1101&5|418&4|615&3|474&5|483&5|1203&2|274&5|257&5|631&5|473&4|514&5|95&4;387&4|142&3|218&3|160&2;1101&5|418&4|615&3|474&5|483&5|1203&2|274&5|257&5|631&5|473&4|514&5|95&4|387&4|142&3|218&3|160&2
344&4|1628&5|305&4|318&5|750&4|286&4|272&3|86&4|874&4|463&5|891&2|900&4;1255&1|1653&5|1101&4|937&1;344&4|1628&5|305&4|318&5|750&4|286&4|272&3|86&4|874&4|463&5|891&2|900&4|1255&1|1653&5|1101&4|937&1
627&1|1219&4|768&3|465&5|596&1|95&4|404&2|418&3|588&1|432&1|946&2|932&5;969&2|501&3|420&1|102&5;627&1|1219&4|768&3|465&5|596&1|95&4|404&2|418&3|588&1|432&1|946&2|932&5|969&2|501&3|420&1|102&5
859&3|202&4|563&3|687&2|203&5|64&4|105&2|49&3|96&5|123&4|1073&5|974&1;820&2|1054&1|1011&5|380&3;859&3|202&4|563&3|687&2|203&5|64&4|105&2|49&3|96&5|123&4|1073&5|974&1|820&2|1054&1|1011&5|380&3
779&3|500&4|154&3|248&3|100&3|174&5|568&4|705&4|387&3|660&5|22&4|283&3;1090&4|932&4|485&4|776&4;779&3|500&4|154&3|248&3|100&3|174&5|568&4|705&4|387&3|660&5|22&4|283&3|1090&4|932&4|485&4|776&4
302&3|323&3|286&4|328&4|245&4|327&3|303&4|269&3|690&3|300&4|322&4|332&3;988&2|307&3|754&3|689&3;302&3|323&3|286&4|328&4|245&4|327&3|303&4|269&3|690&3|300&4|322&4|332&3|988&2|307&3|754&3|689&3
135&5|168&4|132&5|183&5|69&5|661&5|115&5|357&5|195&5|79&5|191&5|228&5;1126&3|434&4|153&5|526&3;135&5|168&4|132&5|183&5|69&5|661&5|115&5|357&5|195&5|79&5|191&5|228&5|1126&3|434&4|153&5|526&3
269&4|340&3|1&4|1142&5|276&5|127&5|475&4|181&3|298&4|1011&2|302&4|246&5;742&2|1059&4|1016&4|249&3;269&4|340&3|1&4|1142&5|276&5|127&5|475&4|181&3|298&4|1011&2|302&4|246&5|742&2|1059&4|1016&4|249&3
602&3|155&5|42&5|684&4|483&4|1041&2|237&2|172&5|164&5|584&3|747&4|71&4;159&1|1219&2|67&1|231&4;602&3|155&5|42&5|684&4|483&4|1041&2|237&2|172&5|164&5|584&3|747&4|71&4|159&1|1219&2|67&1|231&4
294&1|181&5|751&3|236&4|682&3|717&5|288&4|200&5|50&5|100&3|930&5|17&4;590&4|567&4|860&4|219&5;294&1|181&5|751&3|236&4|682&3|717&5|288&4|200&5|50&5|100&3|930&5|17&4|590&4|567&4|860&4|219&5
134&4|100&3|238&5|1028&1|455&3|252&1|250&3|181&3|89&5|125&3|1&5|357&3;69&3|210&3|52&5|28&5;134&4|100&3|238&5|1028&1|455&3|252&1|250&3|181&3|89&5|125&3|1&5|357&3|69&3|210&3|52&5|28&5
938&4|258&5|879&4|690&3|326&5|300&3|334&4|1393&2|1296&2|304&3|989&3|306&2;286&4|319&4|324&3|333&3;938&4|258&5|879&4|690&3|326&5|300&3|334&4|1393&2|1296&2|304&3|989&3|306&2|286&4|319&4|324&3|333&3
